id,frame_id,character,script,emotion
AnotherMissOh01_001_0082,AnotherMissOh01_001_0082_IMAGE_0000004583,Deogi,Is it good?,Neutral
AnotherMissOh01_001_0083,AnotherMissOh01_001_0083_IMAGE_0000004603,Deogi,Is it good?,Happiness
AnotherMissOh01_001_0084,AnotherMissOh01_001_0084_IMAGE_0000004657,Jeongsuk,"Wow, perfect! Do you(Kyungsu) need more food to go with your(Kyungsu) drinks?",Happiness
AnotherMissOh01_001_0087,AnotherMissOh01_001_0087_IMAGE_0000004758,Kyungsu,"Oh yes, I(Kyungsu)'d appreciate that.",Happiness
AnotherMissOh01_001_0088,AnotherMissOh01_001_0088_IMAGE_0000004800,Deogi,I(Deogi)'ll take the mixed spicy salad. ,Happiness
AnotherMissOh01_001_0088,AnotherMissOh01_001_0088_IMAGE_0000004800,Jeongsuk,"Yes, Deogi.",Happiness
AnotherMissOh01_001_0089,AnotherMissOh01_001_0089_IMAGE_0000004900,Deogi,I(Deogi)'ll take the mixed spicy salad. ,Happiness
AnotherMissOh01_001_0089,AnotherMissOh01_001_0089_IMAGE_0000004900,Jeongsuk,"Yes, Deogi.",Happiness
AnotherMissOh01_001_0089,AnotherMissOh01_001_0089_IMAGE_0000004900,Deogi,Mother! have some pancakes.,Happiness
AnotherMissOh01_001_0089,AnotherMissOh01_001_0089_IMAGE_0000004900,Kyungsu,Yes Yes!,Happiness
AnotherMissOh01_001_0090,AnotherMissOh01_001_0090_IMAGE_0000005016,Deogi,"After coming back home from the wedding ceremony, we(Deogi,Kyungsu,Jeongsuk,Haeyoung1) should all have a drink together at home.",Happiness
AnotherMissOh01_001_0091,AnotherMissOh01_001_0091_IMAGE_0000005096,Deogi,"After coming back home from the wedding ceremony, we(Deogi,Kyungsu,Jeongsuk,Haeyoung1) should all have a drink together at home.",Happiness
AnotherMissOh01_001_0092,AnotherMissOh01_001_0092_IMAGE_0000005124,Haeyoung1,I(Haeyoung1) am back.,Anger
AnotherMissOh01_001_0093,AnotherMissOh01_001_0093_IMAGE_0000005166,Jeongsuk,"Oh wow, our new bride has arrived.",Happiness
AnotherMissOh01_001_0094,AnotherMissOh01_001_0094_IMAGE_0000005258,Deogi,"You(Haeyoung1) must be hungry, right? Get some chopsticks and come here to join us(Deogi,Kyungsu,Jeongsuk).",Happiness
AnotherMissOh01_001_0095,AnotherMissOh01_001_0095_IMAGE_0000005368,Kyungsu,"Mother, please try this.",Neutral
AnotherMissOh01_001_0095,AnotherMissOh01_001_0095_IMAGE_0000005656,Jeongsuk,"Hanboks these days are designed so pretty and chic, right?",Happiness
AnotherMissOh01_001_0095,AnotherMissOh01_001_0095_IMAGE_0000005376,Deogi,Don't you(Jeongsuk) think it's a little too sexy? I(Deogi) don't want to end up looking like I’m too easy,Neutral
AnotherMissOh01_001_0095,AnotherMissOh01_001_0095_IMAGE_0000005656,Jeongsuk,Everyone is wearing these kinds of hanboks these days.,Happiness
AnotherMissOh01_001_0095,AnotherMissOh01_001_0095_IMAGE_0000005656,Jeongsuk,"For the wedding of the first grandchild of the Oh family, and Hae Young is off to such a great beginning.",Happiness
AnotherMissOh01_001_0095,AnotherMissOh01_001_0095_IMAGE_0000005656,Jeongsuk,I(Jeongsuk) hope my daughter SeoHee gets as lucky as her(Haeyoung1).,Happiness
AnotherMissOh01_001_0095,AnotherMissOh01_001_0095_IMAGE_0000005368,Kyungsu,I(Kyungsu) hope she(Haeyoung1) has a good start.,Neutral
